Altitude_km,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
340,1680.83,8.67,0.708,0.835,0.849,0.494,2.918,2.549,1.904,1.388,1.655,1.484,10.0,11.0,14.0,6.0,8.0
550,2806.26,15.488,1.681,1.61,1.848,1.017,6.869,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
610,3043.75,8.562,1.991,1.137,2.051,0.456,8.677,1.595,1.548,1.254,1.517,1.265,7.0,8.0,12.0,4.0,6.0
1015,3967.6,23.286,7.522,4.838,4.908,2.981,10.913,1.333,1.305,1.247,2.057,1.258,5.0,5.0,10.0,3.0,5.0
1200,4058.93,24.62,10.531,6.558,6.397,3.681,12.474,1.308,1.295,1.259,2.327,1.273,4.0,5.0,9.0,3.0,4.0
1400,3955.09,24.295,12.655,7.644,8.608,4.031,14.232,1.339,1.304,1.275,2.632,1.29,3.5,4.0,9.0,3.0,4.0
2000,3481.52,23.221,17.699,12.097,14.088,5.265,15.077,1.507,1.374,1.32,3.555,1.443,3.0,3.0,7.0,3.0,3.0
