Traffic_Matrix,ISL_Capacity_Gbps,TM_Pairs_With_Demand,TM_Total_Demand_Gbps,Carried_Throughput_Gbps,Total_ISLs_Count,Active_ISLs_Count,Idle_ISLs_Count,Low_All_Count,Medium_All_Count,High_All_Count,Congested_All_Count,Low_All_%,Medium_All_%,High_All_%,Congested_All_%,Low_Active_Count,Medium_Active_Count,High_Active_Count,Congested_Active_Count,Low_Active_%,Medium_Active_%,High_Active_%,Congested_Active_%,Avg_Utilization_All_%,P95_Utilization_All_%,Max_Utilization_All_%,Avg_Utilization_Active_%,P95_Utilization_Active_%,Max_Utilization_Active_%
High_Population_TM,50.0,4950,28468.93,2806.26,3168,1797,1371,2816,351,1,0,88.9,11.1,0.0,0.0,1445,351,1,0,80.4,19.5,0.1,0.0,7.1,28.1,65.5,12.5,33.5,65.5
High_GDP_Population_TM,50.0,4950,28468.93,2789.06,3168,1892,1276,2763,404,1,0,87.2,12.8,0.0,0.0,1487,404,1,0,78.6,21.4,0.1,0.0,7.8,28.9,68.5,13.1,33.6,68.5
Country_Capitals_TM,50.0,27261,17135.58,3564.01,3168,2867,301,2534,633,1,0,80.0,20.0,0.0,0.0,2233,633,1,0,77.9,22.1,0.0,0.0,10.6,30.9,60.1,11.7,31.5,60.1
