Architecture,Total_Satellites,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
Multi-Shell-Separated,3888,2641.64,17.092,2.566,1.455,1.872,1.168,6.305,1.417,1.319,1.217,1.702,1.342,7.0,6.5,11.0,4.0,6.0
Single-Shell-Dense,3888,2806.26,15.095,1.814,1.455,1.823,1.022,6.911,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
