Traffic_Matrix,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
High_Population_TM,2806.26,15.101,1.504,1.47,1.916,0.991,6.937,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
High_GDP_Population_TM,2789.06,21.2,2.124,1.832,2.507,1.3,6.433,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
Country_Capitals_TM,3564.01,44.791,2.009,2.74,2.426,2.657,3.616,2.03,1.636,1.294,1.49,1.272,9.0,8.0,13.0,4.0,7.0
