Architecture,Total_Satellites,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
Multi-Shell-Separated,3888,6144.55,34.049,5.664,3.575,5.015,3.14,8.055,1.357,1.504,1.181,1.434,1.253,7.0,8.0,11.0,3.5,6.0
Single-Shell-Dense,3888,6063.41,29.49,3.053,2.681,5.005,2.57,10.93,1.778,1.712,1.243,1.407,1.225,8.0,9.0,14.0,3.0,6.0
