Inclination_Degree,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
30.0,3035.73,13.629,1.195,1.573,1.77,0.979,8.78,3.693,1.228,1.291,1.46,1.28,12.0,6.0,13.0,4.0,6.0
40.0,3385.03,17.873,1.283,2.223,2.231,1.306,8.814,2.605,1.24,1.302,1.422,1.239,10.0,6.5,13.0,4.0,6.0
50.0,2972.09,16.225,1.504,1.691,1.979,1.109,7.457,1.952,1.52,1.265,1.451,1.274,8.0,8.0,12.0,4.0,6.0
53.0,2806.26,15.592,1.681,1.44,1.95,1.038,6.86,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
60.0,2536.2,13.883,1.903,1.204,1.717,0.912,6.212,1.47,1.8,1.273,1.457,1.32,7.0,9.0,12.0,4.0,7.0
70.0,2222.11,12.157,2.611,1.034,1.61,0.749,5.452,1.278,1.962,1.313,1.494,1.505,6.0,11.0,13.0,4.0,7.0
80.0,1989.67,11.051,4.115,0.96,1.101,0.682,5.367,1.193,2.047,1.529,1.512,1.748,5.5,12.0,14.0,4.0,8.0
